CNIC,Name,Age,Sector,Street,HouseNo,Occupation,Gender,Relation,ParentCNIC,Latitude,Longitude
61101-1111111-1,Ahmed Khan,45,G-10,22,180,Engineer,M,Head,,33.684,73.025
61101-1111111-2,Ayesha Khan,42,G-10,22,180,Doctor,F,Spouse,61101-1111111-1,33.684,73.025
61101-9999999-9,Bilal Khan,5,G-10,22,180,Student,M,Son,61101-1111111-1,33.684,73.025
61101-1111111-3,Hira Khan,10,G-10,22,180,Student,F,Daughter,61101-1111111-1,33.684,73.025
61101-1111111-4,Usman Khan,16,G-10,22,180,Student,M,Son,61101-1111111-1,33.684,73.025

61101-2222222-2,Fatima Zahra,38,F-8,5,12,Teacher,F,Head,,33.709,73.037
61101-2222222-3,Imran Zahid,40,F-8,5,12,Accountant,M,Spouse,61101-2222222-2,33.709,73.037
61101-2222222-4,Maryam Imran,14,F-8,5,12,Student,F,Daughter,61101-2222222-2,33.709,73.037
61101-2222222-5,Hassan Imran,9,F-8,5,12,Student,M,Son,61101-2222222-2,33.709,73.037

61101-3333333-3,Ali Raza,29,G-9,17,90,Doctor,M,Head,,33.700,73.030
61101-3333333-4,Noor Ali,27,G-9,17,90,Engineer,F,Spouse,61101-3333333-3,33.700,73.030
61101-3333333-5,Ahmed Ali,3,G-9,17,90,Student,M,Son,61101-3333333-3,33.700,73.030

61101-4444444-4,Sara Malik,22,F-6,9,33,Student,F,Head,,33.727,73.075
61101-4444444-5,Samina Malik,50,F-6,9,33,Homemaker,F,Spouse,61101-4444444-4,33.727,73.075
61101-4444444-6,Hamza Malik,2,F-6,9,33,Student,M,Son,61101-4444444-4,33.727,73.075

61101-5555555-5,Hamza Noor,50,Blue Area,1,5,Business,M,Head,,33.720,73.065
61101-5555555-6,Saima Noor,45,Blue Area,1,5,Teacher,F,Spouse,61101-5555555-5,33.720,73.065
61101-5555555-7,Usman Noor,20,Blue Area,1,5,Student,M,Son,61101-5555555-5,33.720,73.065
61101-5555555-8,Zainab Noor,17,Blue Area,1,5,Student,F,Daughter,61101-5555555-5,33.720,73.065
